Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Priority	Priorities	Estimate	DoD
🔴Define fictional order scenarios	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/5	Marylene-ALC	Done				PO - Highest Priority	2.5 hrs	The scenario document defines three fictional positive order outcomes and one generic unknown order outcome.
🟢Produce checkpoint and final audit package	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/16	hambulleson3718-blip	Done				P2 - Low Priority	3.0 hrs	Raw Git and board exports plus the checkpoint map every member’s visible activity to assigned NS tasks without confidential peer forms.
🔴Set up repository and access	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/1	Musyoki-Musyoka	Done				PO - Highest Priority	1.5 hrs	All five members can open and clone the official repository using their own accounts
🔴Populate the project board	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/2	Musyoki-Musyoka	Done				PO - Highest Priority	1.0 hr	The board contains at least 10 assigned tasks with priority, estimate of 4 hours or less, and 1 checkable Definition of Done
🟢Write the one-page go-live readiness note	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/14	hambulleson3718-blip	Done		1 / 1 (100%)		P2 - Low Priority	2.0 hrs	The one-page note accurately states working scope, observed defects, run steps, production gaps, and handover needs.
🟡Build Homepage and basic README	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/4	Musyoki-Musyoka	Done				P1 - Medium Priority	2.5 hrs	The home page clearly links to both chosen support journeys and labels all data as fictional
🟡Build order-status HTML page	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/6	Marylene-ALC	Done				P1 - Medium Priority	2.5 hrs	The order page has a labelled input, check button, result region, demo references, and home link.
NS-15A: Finalise README and go-live evidence	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/33	Musyoki-Musyoka	Done				PO - Highest Priority	1.5 hrs	README and go-live note contain working public links, exact demonstration inputs, the production-tested commit, final QA evidence and accurate production limitations with no placeholders.
🟡Implement and test hard-coded order logic	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/7	Marylene-ALC	Done				P1 - Medium Priority	4.0 hrs	All documented order inputs display the expected result and unknown input reveals no fictional order details.
🔴Define return and refund decision rules	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/8	annemutahi	Done				PO - Highest Priority	2.0 hrs	The document gives one unambiguous result for every return and refund option used by the prototype.
🟡Build returns/refunds HTML page	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/9	annemutahi	Done				P1 - Medium Priority	2.5 hrs	The returns page contains labelled controls for every decision in the approved rule table and a visible result region.
🟡Implement and test return/refund logic	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/10	annemutahi	Done				P1 - Medium Priority	4.0 hrs	Every decision-table case displays its agreed next step and never claims a real return or refund was processed.
🔴Create shared visual design	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/11	Tanui-001	Done				PO - Highest Priority	3.0 hrs	All pages share a readable visual system and controls are visually distinguishable.
🟢Mobile and accessibility pass	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/12	Tanui-001	Done				P2 - Low Priority	3.0 hrs	Both journeys can be completed by keyboard at 375-pixel width with visible focus and no horizontal overflow.
🟢End-to-end Quality Assurance (QA) and defect verification	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/13	Tanui-001	Done				P2 - Low Priority	3.5 hrs	Every P0 customer journey has a dated pass/fail result and every unresolved failure is declared in the go-live note.
🟡Maintain collaboration and demo documents	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/15	hambulleson3718-blip	Done				P1 - Medium Priority	2.0 hrs	Real paired-role swaps, all five status updates, feedback notes, and a rehearsable demo are linked to task/PR evidence.
NS-07: removed POST method in return.html	https://github.com/Musyoki-Musyoka/northstar-grp37-support/issues/34	Musyoki-Musyoka	Done						
feat: removed post method and added id to form- prevents 405 method n…	https://github.com/Musyoki-Musyoka/northstar-grp37-support/pull/35		Done						
Docs/NS-15-final-handover	https://github.com/Musyoki-Musyoka/northstar-grp37-support/pull/36	Musyoki-Musyoka	Done						
docs: update README with final evidence links - make submission resou…	https://github.com/Musyoki-Musyoka/northstar-grp37-support/pull/37		Done						
docs: complete go-live evidence - link tested deployment, commit and …	https://github.com/Musyoki-Musyoka/northstar-grp37-support/pull/38		Done						
docs: replace duplicate audit files with native exports	https://github.com/Musyoki-Musyoka/northstar-grp37-support/pull/39		Done						
docs: Updated checkpoint map	https://github.com/Musyoki-Musyoka/northstar-grp37-support/pull/40		Done						
